pair,status,binance_symbol,interval,rows,start,end,files
1000CHEEMS/USD,ok,1000CHEEMSUSDT,1h,9676,2025-02-09 11:00:00+00:00,2026-03-19 14:00:00+00:00,"['data\\monthly_ohlcv\\2025-02\\1000CHEEMS_USD_1h.csv', 'data\\monthly_ohlcv\\2025-03\\1000CHEEMS_USD_1h.csv', 'data\\monthly_ohlcv\\2025-04\\1000CHEEMS_USD_1h.csv', 'data\\monthly_ohlcv\\2025-05\\1000CHEEMS_USD_1h.csv', 'data\\monthly_ohlcv\\2025-06\\1000CHEEMS_USD_1h.csv', 'data\\monthly_ohlcv\\2025-07\\1000CHEEMS_USD_1h.csv', 'data\\monthly_ohlcv\\2025-08\\1000CHEEMS_USD_1h.csv', 'data\\monthly_ohlcv\\2025-09\\1000CHEEMS_USD_1h.csv', 'data\\monthly_ohlcv\\2025-10\\1000CHEEMS_USD_1h.csv', 'data\\monthly_ohlcv\\2025-11\\1000CHEEMS_USD_1h.csv', 'data\\monthly_ohlcv\\2025-12\\1000CHEEMS_USD_1h.csv', 'data\\monthly_ohlcv\\2026-01\\1000CHEEMS_USD_1h.csv', 'data\\monthly_ohlcv\\2026-02\\1000CHEEMS_USD_1h.csv', 'data\\monthly_ohlcv\\2026-03\\1000CHEEMS_USD_1h.csv']"
AAVE/USD,ok,AAVEUSDT,1h,19407,2024-01-01 00:00:00+00:00,2026-03-19 14:00:00+00:00,"['data\\monthly_ohlcv\\2024-01\\AAVE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-02\\AAVE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-03\\AAVE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-04\\AAVE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-05\\AAVE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-06\\AAVE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-07\\AAVE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-08\\AAVE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-09\\AAVE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-10\\AAVE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-11\\AAVE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-12\\AAVE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-01\\AAVE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-02\\AAVE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-03\\AAVE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-04\\AAVE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-05\\AAVE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-06\\AAVE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-07\\AAVE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-08\\AAVE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-09\\AAVE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-10\\AAVE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-11\\AAVE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-12\\AAVE_USD_1h.csv', 'data\\monthly_ohlcv\\2026-01\\AAVE_USD_1h.csv', 'data\\monthly_ohlcv\\2026-02\\AAVE_USD_1h.csv', 'data\\monthly_ohlcv\\2026-03\\AAVE_USD_1h.csv']"
ADA/USD,ok,ADAUSDT,1h,19407,2024-01-01 00:00:00+00:00,2026-03-19 14:00:00+00:00,"['data\\monthly_ohlcv\\2024-01\\ADA_USD_1h.csv', 'data\\monthly_ohlcv\\2024-02\\ADA_USD_1h.csv', 'data\\monthly_ohlcv\\2024-03\\ADA_USD_1h.csv', 'data\\monthly_ohlcv\\2024-04\\ADA_USD_1h.csv', 'data\\monthly_ohlcv\\2024-05\\ADA_USD_1h.csv', 'data\\monthly_ohlcv\\2024-06\\ADA_USD_1h.csv', 'data\\monthly_ohlcv\\2024-07\\ADA_USD_1h.csv', 'data\\monthly_ohlcv\\2024-08\\ADA_USD_1h.csv', 'data\\monthly_ohlcv\\2024-09\\ADA_USD_1h.csv', 'data\\monthly_ohlcv\\2024-10\\ADA_USD_1h.csv', 'data\\monthly_ohlcv\\2024-11\\ADA_USD_1h.csv', 'data\\monthly_ohlcv\\2024-12\\ADA_USD_1h.csv', 'data\\monthly_ohlcv\\2025-01\\ADA_USD_1h.csv', 'data\\monthly_ohlcv\\2025-02\\ADA_USD_1h.csv', 'data\\monthly_ohlcv\\2025-03\\ADA_USD_1h.csv', 'data\\monthly_ohlcv\\2025-04\\ADA_USD_1h.csv', 'data\\monthly_ohlcv\\2025-05\\ADA_USD_1h.csv', 'data\\monthly_ohlcv\\2025-06\\ADA_USD_1h.csv', 'data\\monthly_ohlcv\\2025-07\\ADA_USD_1h.csv', 'data\\monthly_ohlcv\\2025-08\\ADA_USD_1h.csv', 'data\\monthly_ohlcv\\2025-09\\ADA_USD_1h.csv', 'data\\monthly_ohlcv\\2025-10\\ADA_USD_1h.csv', 'data\\monthly_ohlcv\\2025-11\\ADA_USD_1h.csv', 'data\\monthly_ohlcv\\2025-12\\ADA_USD_1h.csv', 'data\\monthly_ohlcv\\2026-01\\ADA_USD_1h.csv', 'data\\monthly_ohlcv\\2026-02\\ADA_USD_1h.csv', 'data\\monthly_ohlcv\\2026-03\\ADA_USD_1h.csv']"
APT/USD,ok,APTUSDT,1h,19407,2024-01-01 00:00:00+00:00,2026-03-19 14:00:00+00:00,"['data\\monthly_ohlcv\\2024-01\\APT_USD_1h.csv', 'data\\monthly_ohlcv\\2024-02\\APT_USD_1h.csv', 'data\\monthly_ohlcv\\2024-03\\APT_USD_1h.csv', 'data\\monthly_ohlcv\\2024-04\\APT_USD_1h.csv', 'data\\monthly_ohlcv\\2024-05\\APT_USD_1h.csv', 'data\\monthly_ohlcv\\2024-06\\APT_USD_1h.csv', 'data\\monthly_ohlcv\\2024-07\\APT_USD_1h.csv', 'data\\monthly_ohlcv\\2024-08\\APT_USD_1h.csv', 'data\\monthly_ohlcv\\2024-09\\APT_USD_1h.csv', 'data\\monthly_ohlcv\\2024-10\\APT_USD_1h.csv', 'data\\monthly_ohlcv\\2024-11\\APT_USD_1h.csv', 'data\\monthly_ohlcv\\2024-12\\APT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-01\\APT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-02\\APT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-03\\APT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-04\\APT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-05\\APT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-06\\APT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-07\\APT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-08\\APT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-09\\APT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-10\\APT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-11\\APT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-12\\APT_USD_1h.csv', 'data\\monthly_ohlcv\\2026-01\\APT_USD_1h.csv', 'data\\monthly_ohlcv\\2026-02\\APT_USD_1h.csv', 'data\\monthly_ohlcv\\2026-03\\APT_USD_1h.csv']"
ARB/USD,ok,ARBUSDT,1h,19407,2024-01-01 00:00:00+00:00,2026-03-19 14:00:00+00:00,"['data\\monthly_ohlcv\\2024-01\\ARB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-02\\ARB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-03\\ARB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-04\\ARB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-05\\ARB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-06\\ARB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-07\\ARB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-08\\ARB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-09\\ARB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-10\\ARB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-11\\ARB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-12\\ARB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-01\\ARB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-02\\ARB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-03\\ARB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-04\\ARB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-05\\ARB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-06\\ARB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-07\\ARB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-08\\ARB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-09\\ARB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-10\\ARB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-11\\ARB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-12\\ARB_USD_1h.csv', 'data\\monthly_ohlcv\\2026-01\\ARB_USD_1h.csv', 'data\\monthly_ohlcv\\2026-02\\ARB_USD_1h.csv', 'data\\monthly_ohlcv\\2026-03\\ARB_USD_1h.csv']"
ASTER/USD,ok,ASTERUSDT,1h,3939,2025-10-06 12:00:00+00:00,2026-03-19 14:00:00+00:00,"['data\\monthly_ohlcv\\2025-10\\ASTER_USD_1h.csv', 'data\\monthly_ohlcv\\2025-11\\ASTER_USD_1h.csv', 'data\\monthly_ohlcv\\2025-12\\ASTER_USD_1h.csv', 'data\\monthly_ohlcv\\2026-01\\ASTER_USD_1h.csv', 'data\\monthly_ohlcv\\2026-02\\ASTER_USD_1h.csv', 'data\\monthly_ohlcv\\2026-03\\ASTER_USD_1h.csv']"
AVAX/USD,ok,AVAXUSDT,1h,19407,2024-01-01 00:00:00+00:00,2026-03-19 14:00:00+00:00,"['data\\monthly_ohlcv\\2024-01\\AVAX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-02\\AVAX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-03\\AVAX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-04\\AVAX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-05\\AVAX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-06\\AVAX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-07\\AVAX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-08\\AVAX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-09\\AVAX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-10\\AVAX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-11\\AVAX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-12\\AVAX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-01\\AVAX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-02\\AVAX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-03\\AVAX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-04\\AVAX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-05\\AVAX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-06\\AVAX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-07\\AVAX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-08\\AVAX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-09\\AVAX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-10\\AVAX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-11\\AVAX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-12\\AVAX_USD_1h.csv', 'data\\monthly_ohlcv\\2026-01\\AVAX_USD_1h.csv', 'data\\monthly_ohlcv\\2026-02\\AVAX_USD_1h.csv', 'data\\monthly_ohlcv\\2026-03\\AVAX_USD_1h.csv']"
AVNT/USD,ok,AVNTUSDT,1h,4450,2025-09-15 05:00:00+00:00,2026-03-19 14:00:00+00:00,"['data\\monthly_ohlcv\\2025-09\\AVNT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-10\\AVNT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-11\\AVNT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-12\\AVNT_USD_1h.csv', 'data\\monthly_ohlcv\\2026-01\\AVNT_USD_1h.csv', 'data\\monthly_ohlcv\\2026-02\\AVNT_USD_1h.csv', 'data\\monthly_ohlcv\\2026-03\\AVNT_USD_1h.csv']"
BIO/USD,ok,BIOUSDT,1h,10565,2025-01-03 10:00:00+00:00,2026-03-19 14:00:00+00:00,"['data\\monthly_ohlcv\\2025-01\\BIO_USD_1h.csv', 'data\\monthly_ohlcv\\2025-02\\BIO_USD_1h.csv', 'data\\monthly_ohlcv\\2025-03\\BIO_USD_1h.csv', 'data\\monthly_ohlcv\\2025-04\\BIO_USD_1h.csv', 'data\\monthly_ohlcv\\2025-05\\BIO_USD_1h.csv', 'data\\monthly_ohlcv\\2025-06\\BIO_USD_1h.csv', 'data\\monthly_ohlcv\\2025-07\\BIO_USD_1h.csv', 'data\\monthly_ohlcv\\2025-08\\BIO_USD_1h.csv', 'data\\monthly_ohlcv\\2025-09\\BIO_USD_1h.csv', 'data\\monthly_ohlcv\\2025-10\\BIO_USD_1h.csv', 'data\\monthly_ohlcv\\2025-11\\BIO_USD_1h.csv', 'data\\monthly_ohlcv\\2025-12\\BIO_USD_1h.csv', 'data\\monthly_ohlcv\\2026-01\\BIO_USD_1h.csv', 'data\\monthly_ohlcv\\2026-02\\BIO_USD_1h.csv', 'data\\monthly_ohlcv\\2026-03\\BIO_USD_1h.csv']"
BMT/USD,ok,BMTUSDT,1h,8784,2025-03-18 15:00:00+00:00,2026-03-19 14:00:00+00:00,"['data\\monthly_ohlcv\\2025-03\\BMT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-04\\BMT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-05\\BMT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-06\\BMT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-07\\BMT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-08\\BMT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-09\\BMT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-10\\BMT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-11\\BMT_USD_1h.csv', 'data\\monthly_ohlcv\\2025-12\\BMT_USD_1h.csv', 'data\\monthly_ohlcv\\2026-01\\BMT_USD_1h.csv', 'data\\monthly_ohlcv\\2026-02\\BMT_USD_1h.csv', 'data\\monthly_ohlcv\\2026-03\\BMT_USD_1h.csv']"
BNB/USD,ok,BNBUSDT,1h,19407,2024-01-01 00:00:00+00:00,2026-03-19 14:00:00+00:00,"['data\\monthly_ohlcv\\2024-01\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-02\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-03\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-04\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-05\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-06\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-07\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-08\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-09\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-10\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-11\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2024-12\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-01\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-02\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-03\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-04\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-05\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-06\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-07\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-08\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-09\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-10\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-11\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2025-12\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2026-01\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2026-02\\BNB_USD_1h.csv', 'data\\monthly_ohlcv\\2026-03\\BNB_USD_1h.csv']"
BONK/USD,ok,BONKUSDT,1h,19407,2024-01-01 00:00:00+00:00,2026-03-19 14:00:00+00:00,"['data\\monthly_ohlcv\\2024-01\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2024-02\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2024-03\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2024-04\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2024-05\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2024-06\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2024-07\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2024-08\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2024-09\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2024-10\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2024-11\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2024-12\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2025-01\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2025-02\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2025-03\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2025-04\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2025-05\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2025-06\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2025-07\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2025-08\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2025-09\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2025-10\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2025-11\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2025-12\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2026-01\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2026-02\\BONK_USD_1h.csv', 'data\\monthly_ohlcv\\2026-03\\BONK_USD_1h.csv']"
BTC/USD,ok,BTCUSDT,1h,19407,2024-01-01 00:00:00+00:00,2026-03-19 14:00:00+00:00,"['data\\monthly_ohlcv\\2024-01\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2024-02\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2024-03\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2024-04\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2024-05\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2024-06\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2024-07\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2024-08\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2024-09\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2024-10\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2024-11\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2024-12\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2025-01\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2025-02\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2025-03\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2025-04\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2025-05\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2025-06\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2025-07\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2025-08\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2025-09\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2025-10\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2025-11\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2025-12\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2026-01\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2026-02\\BTC_USD_1h.csv', 'data\\monthly_ohlcv\\2026-03\\BTC_USD_1h.csv']"
CAKE/USD,ok,CAKEUSDT,1h,19407,2024-01-01 00:00:00+00:00,2026-03-19 14:00:00+00:00,"['data\\monthly_ohlcv\\2024-01\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-02\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-03\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-04\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-05\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-06\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-07\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-08\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-09\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-10\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-11\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2024-12\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-01\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-02\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-03\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-04\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-05\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-06\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-07\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-08\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-09\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-10\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-11\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2025-12\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2026-01\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2026-02\\CAKE_USD_1h.csv', 'data\\monthly_ohlcv\\2026-03\\CAKE_USD_1h.csv']"
CFX/USD,ok,CFXUSDT,1h,19407,2024-01-01 00:00:00+00:00,2026-03-19 14:00:00+00:00,"['data\\monthly_ohlcv\\2024-01\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-02\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-03\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-04\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-05\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-06\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-07\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-08\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-09\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-10\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-11\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2024-12\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-01\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-02\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-03\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-04\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-05\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-06\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-07\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-08\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-09\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-10\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-11\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2025-12\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2026-01\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2026-02\\CFX_USD_1h.csv', 'data\\monthly_ohlcv\\2026-03\\CFX_USD_1h.csv']"
